index,time,S:London__all,S:Eyam__all,I:London__all,I:Eyam__all,obs_mean:Eyam__Kendall__inc,obs_mean:London__Creighton__inc,obs_real:Eyam__Kendall__inc,obs_real:London__Creighton__inc
139,153,367144,129,195,2,31.5,3267.9,32.2699,3114.92
139,123,368589,175,1588,1,78.3,14492.7,90.8492,16256.9
139,92,378127,258,5194,9,54,32128.2,53.6205,37006.6
139,61,412140,325,6879,2,15.3,24670.8,14.9262,23638.3
139,31,442684,346,3931,0,3.6,12046.5,3.70936,13306.3
139,0,458444,347,1556,3,0,0,0,0
140,245,361468,101,0,1,5.4,0,6.96946,0
140,214,361469,110,0,0,0.9,25.2,0.413349,22.3669
140,184,361471,107,13,2,18,487.8,17.5956,465.488
140,153,361676,129,240,0,24.3,3393.9,23.009,3101.87
140,123,368679,148,1328,16,78.3,13300.2,74.2885,11200.8
140,92,377831,238,5032,12,54.9,30724.2,52.4807,32598.6
140,61,409934,298,7067,13,30.6,25135.2,18.1601,27726.7
140,31,444807,345,3134,0,4.5,10853.1,4.2093,9827.15
140,0,458442,347,1558,3,0,0,0,0
141,245,361606,114,6,1,9.9,17.1,10.541,19.3894
141,214,361633,127,1,0,1.8,52.2,1.52908,52.1517
141,184,361663,127,29,2,18.9,554.4,18.7867,567.368
141,153,366503,140,231,2,18.9,3338.1,20.4597,3524.08
141,123,369000,159,1443,4,83.7,13842.9,87.2472,13970.5
141,92,381800,252,4141,7,46.8,28276.2,45.5138,29399.7
141,61,411089,304,6270,7,29.7,26071.2,26.1925,27285.9
141,31,445427,346,3144,0,3.6,10286.1,3.4218,11282.1
141,0,458439,347,1561,3,0,0,0,0
142,245,380409,345,1,0,0,10.8,0,10.9629
142,214,380414,345,8,0,0,75.6,0,77.0833
142,184,371389,345,28,0,0,542.7,0,606.1
142,153,373018,345,208,0,0,3104.1,0,3330.12
142,123,383119,345,1408,0,0,13086,0,12001.5
142,92,394221,345,3588,0,0,23746.5,0,22516.2
142,61,423150,345,4564,0,0,17892,0,16542.7
142,31,443753,346,3665,0,3.6,11323.8,2.191,10578.1
142,0,458444,347,1556,3,0,0,0,0
143,245,367643,345,1,0,0,7.2,0,9.01979
143,214,367649,345,3,0,0,27,0,28.1542
143,184,373130,345,25,0,0,468,0,400.673
143,153,364438,346,192,0,0,3004.2,0,3160.44
143,123,375589,346,1218,0,0,13738.5,0,15200.8
143,92,392579,344,3730,0,0,24340.5,0,26847.9
143,61,419705,345,5092,0,0,20387.7,0,13742.1
143,31,443185,346,3657,0,3.6,11842.2,2.7402,11418.8
143,0,458450,347,1550,3,0,0,0,0
144,245,366885,85,0,0,9.9,11.7,10.3261,11.3021
144,214,367255,107,0,0,0.9,31.5,0.170329,30.2991
144,184,364390,106,25,2,18,533.7,19.8577,588.101
144,153,367173,140,213,0,18,2877.3,16.5643,2965.3
144,123,371281,125,1453,7,83.7,13365,83.106,14749.6
144,92,381309,220,4388,12,64.8,28972.8,69.4106,29389.6
144,61,411490,290,6399,14,35.1,26171.1,40.3554,30244.4
144,31,444414,345,3611,0,4.5,10777.5,5.12685,9430.22
144,0,458448,347,1552,3,0,0,0,0
145,245,370182,344,0,0,0,4.5,0,4.01752
145,214,370184,344,3,0,0,54.9,0,54.8467
145,184,370230,344,26,0,0,518.4,0,482.213
145,153,370407,344,261,0,0,3268.8,0,2991.04
145,123,378892,346,1454,0,0,13806,0,16313.9
145,92,388632,345,4230,0,0,26559,0,24163.6
145,61,426023,346,4088,0,0,16822.8,0,18235.6
145,31,445975,346,2828,0,3.6,10077.3,2.38708,9146.02
145,0,458438,347,1562,3,0,0,0,0
146,245,373258,347,0,0,0,1.8,0,1.92692
146,214,373259,347,1,0,0,44.1,0,50.8618
146,184,377008,344,26,0,0,506.7,0,510.251
146,153,379547,344,186,0,0,3015,0,3214.54
146,123,384233,344,1344,0,0,12196.8,0,12436.3
146,92,385675,346,4404,0,0,28601.1,0,29861.2
146,61,424628,345,4363,0,0,17175.6,0,15822.4
146,31,445132,345,2943,0,4.5,10732.5,3.5283,10508
146,0,458441,347,1559,3,0,0,0,0
147,245,357695,86,0,2,9,0.9,9.5745,0.85605
147,214,357965,95,0,0,0.9,36,1.08438,38.6618
147,184,357986,95,19,1,18.9,465.3,20.4747,457.453
147,153,358181,122,279,3,20.7,3222,19.5505,3213.07
147,123,360601,133,1439,15,80.1,15051.6,72.9819,13743
147,92,374264,245,4996,8,52.2,31554,49.4635,33472.3
147,61,406990,300,7330,11,30.6,28143.9,34.6992,27879.4
147,31,443556,346,3602,0,3.6,11557.8,3.48533,10504.6
147,0,458449,347,1551,3,0,0,0,0
148,245,366052,94,0,3,9,0,8.40308,0
148,214,366026,107,4,0,1.8,51.3,1.466,50.9147
148,184,366081,118,19,0,17.1,470.7,13.2632,342.347
148,153,363989,136,252,0,24.3,3529.8,23.0439,3795.96
148,123,369860,152,1149,5,78.3,12620.7,88.1173,11003.8
148,92,380549,220,4483,24,61.2,27353.7,61.9671,29046.7
148,61,409025,311,6400,1,27,26855.1,26.7419,22434.3
148,31,446143,346,2639,0,3.6,10096.2,3.54081,10637.5
148,0,458450,347,1550,3,0,0,0,0
149,245,370722,344,0,0,0,3.6,0,3.04404
149,214,370722,344,4,0,0,59.4,0,68.1254
149,184,370807,344,24,0,0,494.1,0,542.51
149,153,375919,345,229,0,0,3450.6,0,3741.75
149,123,373755,344,1558,0,0,15297.3,0,16094.8
149,92,392809,347,3664,0,0,23116.5,0,22384.5
149,61,419160,347,5197,0,0,20844.9,0,23129
149,31,443011,342,3843,0,7.2,11831.4,8.06404,13050.4
149,0,458449,347,1551,3,0,0,0,0
150,245,366591,105,0,0,9.9,0.9,8.63574,0.914484
150,214,366583,117,0,0,0.9,31.5,0.887144,24.8188
150,184,366659,114,10,0,20.7,477.9,19.8336,495.476
150,153,366915,128,285,9,26.1,3575.7,24.7785,3545.4
